# 181 known solutions of x1^6+...+x7^6 = z^6 (primitive, z < 424000)
# reconstructed from http://euler.free.fr/database.txt (the uploaded database.txt was corrupt)
# plus three new 2nd-kind primitives from this project's solve_617_v1 Branch A (07/2026)
# format: z = x1 + x2 + ... + x7  | kind | discoverer
1141 = 1077 + 894 + 702 + 474 + 402 + 234 + 74  | 1st kind (7|z) | Lander, Parkin and Selfridge,1966
1645 = 1560 + 1299 + 864 + 702 + 618 + 430 + 150  | 1st kind (7|z) | Jean-Charles Meyrignac, 1999
1757 = 1494 + 1402 + 1248 + 1242 + 1200 + 804 + 195  | 1st kind (7|z) | Jean-Charles Meyrignac, 1999
2009 = 1944 + 1506 + 664 + 522 + 345 + 198 + 90  | 1st kind (7|z) | Jean-Charles Meyrignac, 1999
2023 = 1902 + 1548 + 1320 + 1136 + 345 + 240 + 30  | 1st kind (7|z) | Jean-Charles Meyrignac, 1999
2471 = 2228 + 1956 + 1728 + 1668 + 1017 + 552 + 510  | 1st kind (7|z) | Jean-Charles Meyrignac, 1999
3073 = 2830 + 2568 + 1761 + 1446 + 1086 + 996 + 576  | 1st kind (7|z) | Jean-Charles Meyrignac, 1999
3773 = 3480 + 2778 + 2558 + 2556 + 2019 + 1578 + 1380  | 1st kind (7|z) | Peter J Ansell, 01/2009
3983 = 3921 + 2532 + 2136 + 696 + 678 + 338 + 78  | 1st kind (7|z) | Peter J Ansell, 01/2009
4445 = 4176 + 3366 + 2790 + 2781 + 1584 + 1286 + 930  | 1st kind (7|z) | Peter J Ansell, 01/2009
4543 = 4230 + 3476 + 3270 + 1962 + 1410 + 1377 + 1290  | 1st kind (7|z) | Peter J Ansell, 01/2009
4781 = 4422 + 3566 + 3405 + 2934 + 2382 + 1770 + 696  | 1st kind (7|z) | Peter J Ansell, 01/2009
4837 = 4230 + 4206 + 2934 + 2928 + 2346 + 2181 + 706  | 1st kind (7|z) | Peter J Ansell, 01/2009
4865 = 4836 + 2655 + 2040 + 1716 + 1620 + 1038 + 248  | 1st kind (7|z) | Peter J Ansell, 01/2009
4879 = 4806 + 3126 + 2206 + 2172 + 1446 + 1263 + 18  | 1st kind (7|z) | Peter J Ansell, 01/2009
4963 = 4458 + 4028 + 3363 + 3252 + 2406 + 444 + 324  | 1st kind (7|z) | Peter J Ansell, 01/2009
5075 = 4230 + 4170 + 3936 + 3300 + 3187 + 1854 + 888  | 1st kind (7|z) | Peter J Ansell, 01/2009
5089 = 4353 + 4110 + 3902 + 3246 + 3174 + 1704 + 90  | 1st kind (7|z) | Peter J Ansell, 01/2009
5159 = 4916 + 3978 + 2745 + 2574 + 1872 + 1560 + 666  | 1st kind (7|z) | Peter J Ansell, 01/2009
5173 = 5052 + 3189 + 3060 + 2846 + 2196 + 1656 + 66  | 1st kind (7|z) | Peter J Ansell, 01/2009
5327 = 5172 + 3441 + 3384 + 2838 + 1720 + 600 + 258  | 1st kind (7|z) | Peter J Ansell, 01/2009
5327 = 4884 + 3912 + 3858 + 3300 + 3018 + 2654 + 495  | 1st kind (7|z) | Peter J Ansell, 01/2009
5411 = 4950 + 4552 + 3012 + 2787 + 2544 + 1338 + 852  | 1st kind (7|z) | Peter J Ansell, 01/2009
5537 = 4908 + 4833 + 3228 + 3096 + 1996 + 1650 + 750  | 1st kind (7|z) | Peter J Ansell, 01/2009
5537 = 5514 + 2864 + 2175 + 1836 + 1566 + 396 + 198  | 1st kind (7|z) | Peter J Ansell, 01/2009
5551 = 5265 + 3834 + 3624 + 3492 + 2766 + 2468 + 1740  | 1st kind (7|z) | Peter J Ansell, 01/2009
5761 = 5121 + 5010 + 3546 + 2868 + 2258 + 1776 + 990  | 1st kind (7|z) | Peter J Ansell, 01/2009
